Recipient Company,Parent Company,Award Date,Award Type,Grant Amount,Face Loan Amount,Awarding Agency,Program Name,Award Details,Data Source for Award,Facility Name,Facility State,Facility City,Facility Street Address,Facility Zip Code,Facility Congressional District,Facility NAICS Code,PPP Lender,Jobs Retained,Notes,Ownership Structure,Stock Ticker Symbol,Parent Headquarters State,Parent Headquarters Country,Parent Sector,Parent Industry,Parent Total Workforce at end of 2019,Parent Latest Workforce Size,Parent Employment-related Penalties Since 2010,Parent Federal Corporate Income Tax Rate,"Parent Total Federal, State, and Local Subsidies Since 2010",Parent Government-contracting-related Penalties Since 2010,Parent Environmental / Healthcare / Safety Penalties Since 2010,Parent Consumer Protection / Financial / Competition-related Penaties Since 2010,Parent Ratio of CEO Pay to that of Median Worker,CEO Pay,Median Worker Pay,Parent TARP Loans Received During Financial Crisis,Employment Issues,Tax/Subsidy Issues,Government Contracting Issues,Environment/Safety Issues,Consumer Protection Issues,CEO Compensation Issues,POGO Link,Just Capital Link,Follow The Money Link,Violation Tracker Link,Subsidy Tracker Link
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$753,821 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$772,307 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$777,694 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$801,106 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$817,482 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$817,758 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$851,347 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$863,214 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$872,306 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$881,207 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$922,552 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$959,242 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$982,225 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$1,012,235 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Tex,Fresenius,20200508,loan,$0 ,"$1,139,709 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$504,896 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$510,289 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$534,959 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$571,697 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$615,280 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$625,332 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$626,752 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Vir,Fresenius,20200508,loan,$0 ,"$672,809 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Wes,Fresenius,20200508,loan,$0 ,"$506,951 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,West Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Wes,Fresenius,20200508,loan,$0 ,"$551,716 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,West Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Wes,Fresenius,20200508,loan,$0 ,"$558,072 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,West Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Wes,Fresenius,20200508,loan,$0 ,"$676,902 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,West Virginia,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Wis,Fresenius,20200508,loan,$0 ,"$666,019 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wisconsin,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Bio-Medical Applications Of Wyo,Fresenius,20200508,loan,$0 ,"$544,950 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Wyoming,,,,,,,0,,publicly traded,,,Germany,healthcare services,dialysis services,"120,659",0,"$980,000 ",,"$11,204,456 ","$87,842,592 ","$5,152,367 ","$235,215,273 ",,"$5,798,000 ",$0 ,$0 ,no,no,yes,yes,yes,yes,,,,fresenius,fresenius
Brownwood Hospital Lp,Community Health Systems,20200508,loan,$0 ,"$9,467,312 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
"Caredx, Inc","Caredx, Inc",20200508,loan,$0 ,"$20,496,029 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,California,,,,,,,0,,publicly traded,CDNA,California,USA,healthcare services,healthcare services,386,0,$0 ,,$0 ,$0 ,$0 ,$0 ,,"$9,424,083 ",$0 ,$0 ,no,no,no,no,no,yes,,,,,
Cedar Park Health System Lp,Community Health Systems,20200508,loan,$0 ,"$9,839,621 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
Centennial Hills Hospital Medic,Universal Health Services Inc.,20200508,loan,$0 ,"$25,886,496 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Nevada,,,,,,,0,,publicly traded,UHS,Pennsylvania,USA,healthcare services,for-profit hospitals,"80,800",0,"$469,188 ",19.60%,"$2,142,878 ","$11,750,000 ","$217,373 ",$0 ,629 to 1,"$24,473,240 ","$38,931 ",$0 ,no,no,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=29950330,universal-health-services-inc,universal-health-services-inc
Chca Bayshore Lp,HCA Healthcare,20200508,loan,$0 ,"$1,608,335 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca Bayshore Lp,HCA Healthcare,20200508,loan,$0 ,"$19,381,250 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca Clear Lake Lp,HCA Healthcare,20200508,loan,$0 ,"$6,069,309 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca Clear Lake Lp,HCA Healthcare,20200508,loan,$0 ,"$50,941,168 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca Conroe L P,HCA Healthcare,20200508,loan,$0 ,"$3,890,551 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca Conroe L P,HCA Healthcare,20200508,loan,$0 ,"$26,927,792 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca Pearland Lp,HCA Healthcare,20200508,loan,$0 ,"$6,822,297 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca West Houston Lp,HCA Healthcare,20200508,loan,$0 ,"$1,000,683 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca West Houston Lp,HCA Healthcare,20200508,loan,$0 ,"$1,541,627 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
Chca West Houston Lp,HCA Healthcare,20200508,loan,$0 ,"$20,078,683 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Texas,,,,,,,0,,publicly traded,HCA,Tennessee,USA,healthcare services,hospitals,"280,000",0,"$145,029 ",16.90%,"$81,031,870 ","$45,045,842 ","$196,572 ","$8,600,000 ",478 to 1,"$26,788,251 ","$56,012 ",$0 ,no,no,yes,no,yes,yes,,https://justcapital.com/reports/the-covid-19-corporate-response-tracker-how-americas-largest-employers-are-treating-stakeholders-amid-the-coronavirus-crisis/,,hca-healthcare,hca-holdings
